id,name,description,category,latitude,longitude,source,source_url,tags,prefecture
overpass-0050,すすきの草原,,meditation,35.2603653,139.0088361,overpass,https://www.openstreetmap.org/node/1436512588,,kanagawa
overpass-0051,Sky Circus,,meditation,35.729442,139.7180675,overpass,https://www.openstreetmap.org/node/1439037612,wheelchair;fee,tokyo
overpass-0052,仙元山,ja:仙元山,walking,36.041673,139.27106,overpass,https://www.openstreetmap.org/node/1446105027,,tokyo
overpass-0053,物見峠,,meditation,35.4645925,139.2963325,overpass,https://www.openstreetmap.org/node/1447614193,,kanagawa
overpass-0054,むじな坂峠,,meditation,35.4668344,139.296689,overpass,https://www.openstreetmap.org/node/1447614778,,kanagawa
overpass-0055,辺室山,ja:辺室山,walking,35.489765,139.254752,overpass,https://www.openstreetmap.org/node/1447627646,,kanagawa
overpass-0056,衣浸山,,walking,35.5195423,139.2596118,overpass,https://www.openstreetmap.org/node/1447654055,,kanagawa
overpass-0057,苺山,,walking,35.6262138,139.2278088,overpass,https://www.openstreetmap.org/node/1456948984,,tokyo
overpass-0058,丹沢山,,walking,35.4743625,139.1626918,overpass,https://www.openstreetmap.org/node/1512981907,,kanagawa
overpass-0059,仙元峠,,walking,35.8748368,139.0825835,overpass,https://www.openstreetmap.org/node/1516496667,,tokyo
overpass-0060,川越山,,walking,35.945996,139.162436,overpass,https://www.openstreetmap.org/node/1519053504,,tokyo
overpass-0061,正丸山,,walking,35.948919,139.163552,overpass,https://www.openstreetmap.org/node/1519054000,,tokyo
overpass-0062,甲仁田山,,walking,35.9593087,139.1454475,overpass,https://www.openstreetmap.org/node/1519056480,,tokyo
overpass-0063,日向山,,walking,35.989294,139.132989,overpass,https://www.openstreetmap.org/node/1519070033,,tokyo
overpass-0064,聖峰,,meditation,35.4024,139.2652253,overpass,https://www.openstreetmap.org/node/1525926868,,kanagawa
overpass-0065,松田山　夜景スポット,,meditation,35.36134,139.1350631,overpass,https://www.openstreetmap.org/node/1525932293,night_view,kanagawa
overpass-0066,糠指山,,walking,35.7548109,139.0073574,overpass,https://www.openstreetmap.org/node/1593220776,,tokyo
overpass-0067,棒ノ嶺（棒ノ折山）,,walking,35.8586784,139.1550986,overpass,https://www.openstreetmap.org/node/1593299747,,tokyo
overpass-0068,馬引沢峠,,walking,35.7672764,139.2447629,overpass,https://www.openstreetmap.org/node/1594997330,,tokyo
overpass-0069,鹿倉山,,walking,35.770329,138.949763,overpass,https://www.openstreetmap.org/node/1597719000,,tokyo
overpass-0070,大室山,ja:大室山 (丹沢),walking,35.510958,139.068526,overpass,https://www.openstreetmap.org/node/1598891630,,kanagawa
overpass-0071,白谷ノ丸,,walking,35.6844729,138.8580741,overpass,https://www.openstreetmap.org/node/1599604065,,tokyo
overpass-0072,大岳山,ja:大岳山 (東京都),walking,35.7651956,139.1303653,overpass,https://www.openstreetmap.org/node/1629787990,,tokyo
overpass-0073,鋸山,,walking,35.7792411,139.1059477,overpass,https://www.openstreetmap.org/node/1629787991,,tokyo
overpass-0074,六道山展望台,,meditation,35.7759525,139.3681399,overpass,https://www.openstreetmap.org/node/1632894605,,tokyo
overpass-0075,のげやまこうえんてんぼうだい,,meditation,35.4449876,139.6232658,overpass,https://www.openstreetmap.org/node/1633845141,wheelchair,kanagawa
overpass-0076,檜洞丸,ja:檜洞丸,walking,35.4789975,139.1027579,overpass,https://www.openstreetmap.org/node/1654433177,,kanagawa
overpass-0077,蛭ヶ岳,ja:蛭ヶ岳,walking,35.4862312,139.1388014,overpass,https://www.openstreetmap.org/node/1654433338,,kanagawa
overpass-0078,袖平山,ja:袖平山,walking,35.5108324,139.1261896,overpass,https://www.openstreetmap.org/node/1654436017,,kanagawa
